Key/Tag	English	French	Japanese	ChineseSimplified	German	Spanish	Portuguese
t_bag	Bag	Sac	バッグ	包	Tasche	Mochila	Mochila
t_wheel	Wheel	Roue	ホイール	轮子	Rad	Ruleta	Roda
t_create	Create	Créer	生み出す	开发	Erstellen	Crear	Criar
t_page	Page	Page	ページ	页数	Seite	Página	Página
t_emote	Emote	Emote	エモート	动画表情	Emote	Emote	Emote
t_emotes	Emotes	Emotes	エモート	动画表情	Emotes	Emotes	Emotes
t_import	Import	Importer	インポート	导入	Importieren	Importar	Importar
t_delete	Delete	Supprimer	消す	删除	Löschen	Eliminar	Apagar 
t_validate	Validate	Valider	検証	确认	Bestätigen	Validar	Validar
t_back	Back	Retour	バック	返回	Zurück	Atrás	Voltar
t_builder	Emote Builder	Créateur d'Emotes	エモートクリエイター	动画表情开发商	Emotes-Ersteller	Emotes Creador	Emotes Criador
t_scan	Scan me	Scanne moi	スキャンミー	扫我	Scannen mich	Escanearme	Digitalizar-me
t_or	Or	Ou	または	或	Oder	O	Ou
t_copy	Copy	Copier	コピー	复制	Kopieren	Copiar	Copiar